name,price,used_for,transmission,colour,make_year,mileage,engine_cc,fuel,kilometer_run,warranty,types
FIAT AVVENTURA 1.4 DYNAMIC ON SALE (Fiat),16.0,personal use,Manual 2WD,Silver,2015.0,12.0,1383.0,Petrol,25125.0,No Warranty,Sedan
Tata indica model 2007 500000 9860462630 (Tata),5.0,personal,Manual 2WD,Black,2007.0,20.0,1500.0,Diesel,71000.0,No Warranty,Sedan
Chevrolet Spark on Sale (Chevrolet),9.0,5 years,Manual 2WD,Other,2012.0,18.0,995.0,Petrol,30000.0,No Warranty,Hatchback
Well maintained Scorpio on sale (Mahindra),17.2,personal,Manual 2WD,White,2007.0,16.0,2400.0,Diesel,100000.0,No Warranty,Sedan
Hyundai i20 sportz 2010 urgent Sale (Hyundai),15.0,personal,Auto 2WD,White,2010.0,15.0,1198.0,Petrol,43000.0,No Warranty,Sedan
Santro Xing Car for sale (Hyundai),10.5,personal,Manual,Blue,2006.0,15.0,1086.0,Petrol,210306.0,No Warranty,Sedan
Toyota corolla /1975/ (Toyota),18.0,private,Manual -  2WD,Silver,1975.0,12.0,1200.0,Petrol,95000.0,no warranty,Sedan
Suzuki Baleno Delta 2018 Model (Maruti Suzuki),22.65,personal,Manual,Silver,2018.0,16.0,1200.0,Petrol,43000.0,3 months,Sedan
I20 actives 2016 model on sell or xchange (Hyundai),26.0,personal,Manual -  2WD,White,2016.0,15.0,1200.0,Petrol,34000.0,No Warranty,Sedan
kia sportage 2.0 korean (Kia),14.5,private,Manual -  4WD,Red,2005.0,11.0,2000.0,Diesel,95000.0,no warranty,Sedan
ecosport on sell (Ford),19.0,personal,Manual -  2WD,Unknown,2013.0,15.0,1000.0,Petrol,154585.0,No Warranty,Sedan
Toyota Corolla Lx 2009 Auto A/C 6 Airbag On Sale (Toyota),23.5,personal,Manual -  2WD,White,2009.0,12.0,1600.0,Petrol,55000.0,No Warranty,Sedan
Skoda Rapid Model 2015 1600 Cc (Skoda),16.0,personal,Manual -  2WD,Silver,2015.0,12.0,1600.0,Petrol,65000.0,No Warranty,Sedan
Santo xing on sale full option 2003 model on sale (Hyundai),8.0,personal,Manual -  2WD,Unknown,2003.0,15.0,1086.0,Petrol,90000.0,No Warranty,Sedan
2002 model full option santro for sale (Hyundai),5.7,6 years,Manual -  2WD,Blue,2002.0,14.0,1086.0,Petrol,89.0,No,Sedan
2001 model frees santro for sale (Hyundai),4.7,7 years,Manual -  2WD,White,2001.0,14.0,1000.0,Petrol,95.0,No,Sedan
2021 model Sonet like new only 10000 KM run (Kia),30.8,1 year,Manual 2WD,Other,2021.0,12.0,1200.0,Petrol,10000.0,Dealer,Sedan
Tata nexon EV (Tata),38.5,personal,Auto 2WD,Unknown,2022.0,100.0,0.0,Electric,19675.0,No Warranty,Hatchback
sale (Hyundai),12.9,parsonal,Manual -  2WD,Gray,2008.0,12.0,1200.0,Petrol,67000.0,no,Sedan
Suzuki AStar zxi (Maruti Suzuki),11.25,personal,Auto 2WD,Blue,2010.0,50.0,1000.0,Petrol,72000.0,No Warranty,Sedan
Hyundai Santro Xing Xo 2005 (Hyundai),9.5,personal,Manual 2WD,White,2005.0,15.0,1086.0,Petrol,229947.0,No Warranty,Sedan
Hyundai Santro Gls Plus 2013 (Hyundai),14.9,personal,Manual 2WD,Other,2013.0,15.0,1086.0,Petrol,40000.0,No Warranty,Sedan
Maruti Suzuki Baleno Delta 2016 (Maruti Suzuki),20.75,personal,Manual 2WD,Blue,2016.0,15.0,1197.0,Petrol,39000.0,No Warranty,Sedan
Maruti Suzuki Zen Estilo Vxi 2010 (Maruti Suzuki),10.75,personal,Manual 2WD,Silver,2010.0,18.0,996.0,Petrol,61477.0,No Warranty,Hatchback
